age,gender,country,daily_usage_hours,primary_platform,num_platforms_used,purpose,avg_session_minutes,night_usage,mental_health_score,addiction_level,screen_time_before_sleep
19,Male,Australia,2.658617259,Snapchat,4,Education,29.22244298,0,6.705829999,Medium,15.77944347
16,Female,USA,5.685386778,Twitter,3,Socializing,32.46472622,1,6.633111263,High,47.71486422
25,Female,India,2.782420038,TikTok,2,Socializing,18.17020404,1,6.035396589,Medium,62.52462541
27,Male,India,3.48659775,YouTube,4,Education,22.49380387,1,8.110861424,Medium,31.93510151
23,Female,India,3.748828747,TikTok,1,Entertainment,27.35840959,1,6.658597684,Medium,29.46604555
20,Other,Brazil,2.932247517,TikTok,1,Entertainment,37.43427434,1,7.138047674,Medium,55.17785252
25,Male,Germany,5.241584406,TikTok,1,Entertainment,31.17936934,1,6.515973662,High,71.66731969
17,Female,India,2.241011821,YouTube,1,News,21.71556072,0,9.314943947,Low,12.33711303
19,Female,Brazil,2.782066524,Twitter,2,Socializing,27.5803137,1,6.301466367,Medium,43.30603518
22,Male,Canada,3.590679693,Instagram,1,Education,5,0,6.682149605,Medium,42.87857615
15,Female,USA,1.737295533,Twitter,2,Entertainment,7.056339405,1,8.164422855,Low,30.65172856
19,Male,India,3.299171768,YouTube,2,Education,5,1,7.908754584,Medium,8.577942284
23,Female,USA,6.207281179,Instagram,1,Socializing,11.24666897,1,5.636535192,High,53.82388681
23,Female,Australia,3.738387078,TikTok,1,News,24.20959913,1,6.306261011,Medium,43.97591486
20,Male,India,5.16091128,Instagram,5,Education,20.28738208,1,4.560262759,High,7.18431922
17,Male,UK,4.372430113,YouTube,1,Entertainment,28.61474182,0,7.235105368,Medium,0
16,Male,Australia,5.332597815,TikTok,1,Entertainment,13.04561193,1,6.107393294,High,49.82979683
20,Male,USA,3.732022754,Twitter,3,Socializing,20.43520572,1,6.312866659,Medium,0.187994608
20,Male,USA,3.900738474,Snapchat,2,Entertainment,14.39786685,1,8.591728859,Medium,15.4671844
15,Female,USA,4.887226432,Instagram,2,Education,31.86209928,1,6.478297083,Medium,21.90549624
18,Female,Australia,2.500647502,YouTube,3,Entertainment,29.22192858,0,8.999890525,Medium,39.64021777
17,Male,UK,5.119454724,YouTube,1,Entertainment,14.77032381,1,6.18912563,High,49.59523661
14,Male,Canada,3.691514848,Snapchat,4,Entertainment,21.37103954,0,6.255301701,Medium,24.05706109
20,Male,India,1.940667189,Instagram,5,Education,11.65798011,1,7.520899983,Low,53.68192563
24,Male,USA,2.667399259,YouTube,5,Socializing,38.0456572,1,6.7369066,Medium,22.90870922
26,Male,Australia,5.595739245,Instagram,3,Entertainment,40.18771721,1,4.334976953,High,52.90928171
18,Male,Brazil,1.203082069,Instagram,4,Entertainment,37.3003534,0,8.929309498,Low,46.67446787
14,Female,Germany,4.610501809,YouTube,5,Socializing,42.78443911,0,6.717749588,Medium,26.55514961
24,Female,India,5.857314346,TikTok,3,Entertainment,29.02759313,1,6.052501819,High,62.53922529
17,Male,Germany,3.329309953,YouTube,5,Entertainment,23.84511973,1,7.442299015,Medium,42.94161005
13,Female,India,1.929588806,Snapchat,4,Socializing,30.90001961,1,9.586553879,Low,32.19145303
24,Female,USA,3.916086868,Instagram,4,Socializing,17.29264804,1,7.330315845,Medium,64.93647604
22,Male,USA,1.329448081,YouTube,3,News,38.07783071,1,7.904058383,Low,58.32840183
18,Female,India,3.465842904,Twitter,2,Socializing,23.23040289,1,9.069632038,Medium,9.555485696
25,Female,India,6.420077735,YouTube,3,Education,18.51852239,1,4.206716518,High,19.69534557
24,Male,India,2.749233841,Instagram,3,Entertainment,37.99023118,1,8.870852904,Medium,52.76439413
21,Other,Brazil,5.192476271,TikTok,2,Entertainment,14.62362959,1,6.645595011,High,40.80216012
13,Female,India,0.868353378,Instagram,5,News,21.31450051,1,8.968320805,Low,64.17618259
23,Other,UK,4.964258965,Instagram,5,Content Creation,21.71153346,1,7.752390901,Medium,45.15350658
23,Male,UK,5.652472795,TikTok,2,News,23.61447216,0,5.37529581,High,47.84561395
27,Male,USA,2.93957837,Snapchat,1,Socializing,32.16667037,0,6.279911727,Medium,12.29167173
22,Female,Brazil,1.314575564,Instagram,5,Socializing,26.66189451,1,9.904731652,Low,42.47999434
24,Female,UK,5.722523619,TikTok,4,News,31.69675452,1,6.088939454,High,22.20144776
24,Female,Canada,3.865372417,Instagram,3,Education,13.0204665,0,5.229807491,Medium,33.43848545
27,Male,UK,4.672093408,YouTube,1,Entertainment,27.31017419,0,7.07534937,Medium,55.76120847
26,Female,India,2.623597335,Instagram,3,News,16.0046237,1,8.305770318,Medium,46.7221679
26,Female,Germany,6.492653478,Instagram,5,Entertainment,19.86267403,1,5.423016386,High,18.30497704
27,Male,Germany,3.293959877,Snapchat,3,Education,34.95615448,0,6.644726594,Medium,16.04244492
26,Female,India,3.650675613,Instagram,2,Entertainment,25.1515998,1,8.238180621,Medium,49.49855255
15,Male,India,3.20101788,YouTube,5,Education,24.15228611,0,7.374142097,Medium,0
24,Male,Germany,0.5,Twitter,5,Socializing,27.23028452,1,10,Low,30.19956408
19,Female,Brazil,4.672998145,TikTok,2,Socializing,23.98152077,1,6.328905745,Medium,18.60146803
16,Male,Canada,4.241777098,TikTok,4,Education,26.86393241,0,6.811187173,Medium,4.322689588
21,Male,Canada,4.078170614,TikTok,4,Socializing,34.53034808,0,7.579700661,Medium,57.33128231
15,Female,India,4.724910996,Instagram,2,Socializing,33.23668615,1,4.776770004,Medium,32.82629993
17,Female,India,6.017242248,TikTok,5,Entertainment,15.31859695,1,5.086233926,High,14.48865848
15,Male,USA,2.845691325,Instagram,1,Entertainment,23.34219103,1,7.182624812,Medium,44.58656657
19,Male,Australia,5.160553059,Instagram,1,Socializing,23.98197801,1,5.598770355,High,46.99603456
17,Male,USA,4.176838666,Twitter,3,Education,39.26746503,0,6.407683805,Medium,51.39385509
21,Female,UK,3.788661757,Twitter,3,Socializing,35.29466777,0,6.487423717,Medium,1.162627961
19,Male,Australia,3.109414554,Instagram,2,Socializing,24.92617629,0,8.799867265,Medium,33.30933848
14,Female,USA,3.49006611,TikTok,1,Education,18.03514117,1,7.913993682,Medium,55.48544569
16,Male,India,6.404592063,Snapchat,2,Entertainment,21.42360597,1,6.573127385,High,26.76735409
21,Other,India,4.326261846,TikTok,2,News,56.50542183,0,5.444724895,Medium,26.08371525
24,Male,India,2.767642727,YouTube,3,Socializing,25.1320954,1,7.6333953,Medium,54.01709309
26,Male,Brazil,5.533080944,YouTube,2,Education,20.05784586,0,6.218250785,High,9.387948454
14,Other,India,0.5,Snapchat,3,News,28.69666179,1,9.832281322,Low,23.61226277
22,Male,Germany,4.315482085,Snapchat,4,News,41.04990315,1,7.175767027,Medium,43.03722741
21,Female,India,3.552486441,Instagram,5,Education,35.57763647,1,6.193216551,Medium,6.246734144
22,Male,Canada,5.469331077,Instagram,3,Entertainment,31.02460482,1,4.763120262,High,41.51050587
17,Female,India,2.015849439,Snapchat,2,Entertainment,21.21655029,0,8.288790501,Low,85.41779024
14,Male,India,4.9172755,YouTube,2,Entertainment,45.20645321,1,6.171164892,Medium,73.78869766
16,Male,India,4.846354022,YouTube,2,Socializing,22.75870784,0,7.318031599,Medium,30.66981447
24,Male,USA,2.276632384,YouTube,5,Entertainment,29.18150144,1,8.377530951,Low,31.09385612
27,Female,India,1.740347993,Instagram,3,Entertainment,18.11080602,0,8.933352513,Low,60.48282979
24,Female,Canada,5.164350301,Instagram,5,Entertainment,22.99186984,1,6.032299294,High,22.18507509
19,Other,USA,2.326597083,Instagram,2,Entertainment,20.79502318,1,8.290121083,Low,42.23392826
24,Female,USA,4.551236963,TikTok,3,Content Creation,15.60329245,1,4.907529067,Medium,7.990499789
25,Male,India,3.205975423,YouTube,3,Socializing,15.04490708,1,7.596900291,Medium,31.89076779
20,Female,UK,3.074761081,Snapchat,4,Entertainment,16.41791427,0,7.965904458,Medium,44.69973309
27,Male,Brazil,1.5346658,TikTok,3,Education,5,1,7.841561149,Low,27.40169936
15,Male,India,5.577580598,YouTube,3,Entertainment,29.36688199,1,6.424822371,High,40.11794422
26,Male,USA,2.610683148,TikTok,2,Entertainment,5,1,8.827306027,Medium,42.14922236
13,Female,UK,6.083947808,Instagram,3,News,21.25067687,1,6.10320048,High,4.390302484
16,Female,USA,4.008622053,Instagram,2,Socializing,28.61873149,1,6.139239684,Medium,38.47222879
14,Male,UK,3.618901378,Twitter,2,News,8.424865572,0,7.262340906,Medium,45.01197911
20,Female,Canada,1.696113603,Snapchat,1,Entertainment,14.49830851,0,8.021143471,Low,49.18940704
16,Male,India,3.637444384,YouTube,1,Entertainment,36.08413783,0,7.569831375,Medium,44.81504492
14,Female,Australia,3.082702841,Twitter,4,Entertainment,20.99830394,0,9.044669205,Medium,20.47859909
26,Female,UK,3.513722356,Instagram,1,Socializing,39.29977078,0,5.585721738,Medium,23.61915686
18,Male,Brazil,5.988181731,YouTube,5,News,14.57313281,1,5.701536412,High,43.31162752
18,Female,USA,3.345343891,Twitter,2,Socializing,36.12308383,0,8.21534643,Medium,20.63527216
22,Male,Canada,2.498733889,Snapchat,2,Entertainment,35.84645383,0,10,Low,36.59808369
16,Female,Germany,1.861197097,Twitter,2,Education,19.92787048,1,8.725709383,Low,47.33604556
18,Male,India,2.765513898,YouTube,4,Socializing,22.36956594,1,6.26503448,Medium,43.09633854
25,Female,UK,3.498749875,Snapchat,2,Socializing,33.60786172,0,6.750562076,Medium,38.84584821
27,Male,Brazil,3.149777163,Snapchat,2,Socializing,35.3106786,1,7.447725984,Medium,39.95843427
14,Male,USA,3.264887839,YouTube,3,Socializing,30.18458408,0,8.1913009,Medium,63.1535276
22,Male,UK,1.780025791,Twitter,2,Socializing,19.42763114,1,8.801023578,Low,22.70768776
24,Female,USA,6.809840235,YouTube,4,Socializing,40.29160415,0,3.808422122,High,14.21684418
14,Male,Brazil,3.234469199,Instagram,1,Socializing,17.80942921,0,7.427718274,Medium,53.62529898
22,Female,India,3.849498857,Instagram,4,Socializing,36.78167766,1,8.167323448,Medium,47.79947915
26,Other,USA,3.579246403,YouTube,2,Content Creation,27.87111758,1,4.957756416,Medium,45.00490563
16,Female,USA,0.996164293,TikTok,2,Socializing,19.97724473,1,9.61375521,Low,45.35297621
26,Female,Australia,2.337692701,YouTube,1,Education,30.33428111,1,7.019956633,Low,42.22940783
27,Male,Germany,4.84020448,TikTok,2,Entertainment,16.5013764,1,7.674655948,Medium,54.52471616
27,Female,India,3.10483295,YouTube,3,Entertainment,19.29650204,0,6.173547789,Medium,64.27027187
20,Male,India,0.681191334,YouTube,3,News,30.66078467,0,9.327446094,Low,56.09423348
26,Female,India,4.804835836,TikTok,5,Education,19.92933248,1,5.028116226,Medium,27.8224254
19,Male,Brazil,3.769068776,Twitter,2,Content Creation,19.64889591,1,6.691152021,Medium,58.4160341
24,Female,USA,1.219320046,Instagram,4,Entertainment,42.18911244,1,7.789987365,Low,74.93635979
21,Male,India,5.442189591,Instagram,4,Content Creation,39.81822142,1,6.257881286,High,62.18143953
26,Male,USA,2.042694737,YouTube,5,Entertainment,25.32294238,1,8.385304004,Low,51.47824665
20,Female,Germany,3.943617642,YouTube,4,Socializing,19.48176552,1,6.824384667,Medium,78.89551425
17,Female,Germany,1.152076638,YouTube,4,News,17.2959188,0,7.737960012,Low,31.86484186
25,Male,Germany,4.673236095,Snapchat,3,News,25.2752412,1,7.96143352,Medium,17.34491438
14,Male,UK,5.332776873,YouTube,5,Entertainment,39.07245026,1,4.940577377,High,22.7159991
27,Male,Germany,4.802578569,Instagram,2,Entertainment,25.55782839,1,7.535962475,Medium,76.92586717
17,Female,Germany,4.314792212,TikTok,2,Socializing,12.72202919,1,5.976745541,Medium,38.83187343
20,Female,Canada,4.02986907,Instagram,3,Entertainment,27.35542474,1,8.125031236,Medium,30.91753674
22,Female,India,6.068451417,TikTok,3,Entertainment,21.89295483,0,7.429203602,High,58.77030771
21,Female,UK,2.549489269,Instagram,5,Content Creation,27.06123766,1,8.285198064,Medium,57.24042564
24,Female,USA,2.782459078,Twitter,5,Entertainment,25.12829581,0,9.191036531,Medium,40.91792907
24,Female,UK,2.429527027,TikTok,2,Entertainment,19.50163239,1,7.003912606,Low,74.63200931
24,Female,India,2.681786539,YouTube,5,Entertainment,50.68904769,1,7.957910241,Medium,107.3806341
25,Male,India,3.54144827,YouTube,5,News,35.62073576,1,6.807979372,Medium,63.33675557
21,Female,Brazil,1.943180531,Instagram,2,Entertainment,5,1,8.618060346,Low,29.90078701
25,Male,UK,2.695598984,Instagram,1,Socializing,21.22550702,1,6.964469476,Medium,13.27455245
27,Female,Australia,4.00133639,YouTube,4,Socializing,21.10483046,1,6.635844276,Medium,31.82257396
25,Female,UK,1.632912202,Instagram,2,Entertainment,27.63769511,0,8.717115811,Low,20.02853807
13,Male,India,5.208383052,YouTube,3,Socializing,30.14626212,1,5.169806214,High,53.2209633
21,Male,UK,3.350090246,YouTube,2,Socializing,33.87424599,1,7.755130583,Medium,32.9194613
19,Male,Brazil,2.706358281,TikTok,1,Entertainment,19.58570629,1,6.243685705,Medium,13.75127734
21,Male,UK,3.270035973,Instagram,3,Entertainment,26.14283764,0,8.413596454,Medium,40.57771391
20,Male,India,3.798820598,Instagram,4,Entertainment,19.0534778,1,4.536752472,Medium,7.762841872
13,Male,India,2.584247456,TikTok,3,Entertainment,28.17793533,0,9.282450803,Medium,26.19004397
